Id_day;Period;BE;DE;FR;NL;RAM_0
1;21;0.09145;0.15815;0.14456;0.20194;304.1767
1;21;0.00464;-0.05512;-0.15361;0;241.1176
1;21;-0.10112;-0.26618;-0.16604;-0.40838;1081.394
1;21;0;0;1;0;4001
1;22;0;-0.06437;-0.15483;0;240.6201
1;22;0.00435;-0.05482;-0.15383;0;241.1986
1;22;0.00068;-0.05351;-0.15712;0;240.5523
1;22;-0.06435;0.00235;-0.01125;0.04529;294.4062
1;22;-0.0832;-0.00432;0.01696;-0.03236;408.5708
1;22;0;0;1;0;4001
1;22;-0.05809;-0.09479;-0.19469;0;327.4067
1;22;0.1038;-0.01127;0.05374;-0.32995;1814.0436
1;22;-0.24675;0.01827;-0.10268;0.04766;983.0647
1;22;0.05548;0.01308;-0.04041;0.03365;211.4461
1;22;-0.1518;0.02273;-0.07118;-0.23785;875.3566
1;22;-0.13627;-0.06451;-0.18446;0;326.5823
1;22;0.14986;-0.0152;0.08516;-0.15501;1109.7487
1;22;-1;0;0;0;4500
1;22;-0.15303;-0.09214;-0.17334;0;327.1222
1;22;0.17212;-0.0169;0.09506;-0.15741;1168.9377
1;22;-0.00074;-0.06458;-0.19004;0;290.5634
1;22;0;-0.05366;-0.15764;0;240.5118
1;22;-0.24636;0.01178;-0.08417;-0.23129;754.6289
1;22;-0.00182;-0.09194;-0.2085;0;327.1762
1;22;-0.06019;-0.06594;-0.20175;0;327.1962
1;22;0;-1;0;0;4400
1;22;-0.1038;0.01127;-0.05374;0.32995;959.9564
1;22;0.0832;0.00432;-0.01696;0.03236;346.4292
1;22;0.07044;-0.00427;0.04117;0.22904;499.0063
1;23;-0.15081;-0.06149;-0.18192;0;327.3977
1;23;-1;0;0;0;4500
1;23;-0.00383;-0.07306;-0.21301;0;327.2738
1;23;0;0;1;0;4001
1;23;0.14986;-0.0152;0.08533;-0.15501;1230.7487
1;23;-0.15162;-0.09377;-0.17329;0;326.6821
1;23;5.00E-05;-0.05657;-0.15687;0;240.7261
1;23;-0.1038;0.01127;-0.05384;0.32995;900.9564
1;23;0;-1;0;0;4400
1;23;0.00419;-0.06111;-0.15235;0;240.5003
1;23;0.05548;0.01308;-0.03962;0.03365;152.4461
1;23;-0.05134;-0.09602;-0.19598;0;327.0746
1;23;-0.24675;0.01827;-0.10297;0.04766;843.0647
1;23;0.00699;-0.06654;-0.14868;0;241.0342
1;23;0.0832;0.00432;-0.01706;0.03236;307.4292
1;23;0.07043;-0.00427;0.04123;0.22903;512.009
1;23;0.17212;-0.0169;0.09524;-0.15741;1303.9377
