"Date" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34"
2018-04-16 9 10 11 10 9 10 11 10 9 11 9 9 9 9 9 11 9 9 11 10 9 11 11 11 9 10 9 9 10 10 9 9 9 11
2018-04-17 11 11 9 9 9 10 11 11 9 9 9 11 9 11 10 9 9 9 11 9 9 9 10 11 11 9 9 9 9 9 9 11 11 10
2018-04-18 10 11 9 10 9 10 11 9 9 9 9 11 9 9 11 9 9 9 11 9 9 9 9 11 11 9 10 9 10 10 9 11 9 10
2018-04-19 9 11 9 10 9 10 10 9 9 9 11 9 9 10 10 9 9 9 11 9 9 10 11 11 10 9 11 11 10 10 11 11 11 9
2018-04-20 10 11 9 11 11 10 11 10 9 9 11 10 9 9 10 9 11 10 11 9 10 10 11 11 10 9 9 10 9 11 11 11 11 11
2018-04-21 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-22 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-23 9 11 10 9 9 10 10 10 11 9 11 11 9 11 11 10 9 9 11 9 10 10 11 10 10 10 10 10 11 9 11 9 10 10
2018-04-24 11 10 9 11 11 11 11 11 9 9 11 9 11 11 9 11 11 10 11 9 10 11 10 11 10 10 11 9 11 11 11 9 10 11
2018-04-25 10 9 10 11 9 10 9 11 11 9 10 9 11 11 11 11 10 10 10 9 11 9 10 9 10 10 9 11 9 11 11 11 11 10
2018-04-26 11 9 10 11 11 10 9 9 10 11 9 11 9 11 9 11 10 11 10 11 10 9 11 9 10 10 10 11 9 9 11 10 10 11
2018-04-27 11 11 11 11 9 11 9 9 9 11 9 10 10 10 9 11 10 9 9 9 11 11 10 9 11 10 10 11 10 11 11 9 11 10
2018-04-28 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-29 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-04-30 11 11 10 10 9 9 9 10 10 11 9 11 9 10 10 9 10 11 11 11 10 10 10 11 10 9 11 10 10 9 9 9 10 9
2018-05-01 10 10 9 10 10 10 11 11 10 9 11 9 9 11 10 10 11 11 10 10 11 9 9 10 10 11 11 10 11 11 10 10 10 10
2018-05-02 11 11 11 9 11 10 10 9 11 10 11 10 11 10 11 9 9 11 11 9 9 11 11 9 10 10 11 11 11 11 9 11 11 11
2018-05-03 11 11 9 10 9 10 9 10 10 11 10 9 9 11 11 10 9 10 11 9 9 9 11 10 9 10 11 11 10 11 9 11 9 10
2018-05-04 11 10 10 9 11 9 9 10 10 11 9 9 10 10 9 9 11 9 9 11 11 11 10 11 11 10 10 9 11 10 10 10 9 9
2018-05-05 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-05-06 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-05-07 9 9 9 11 9 11 11 9 10 9 11 10 10 10 10 9 9 9 11 10 10 10 10 10 9 10 11 9 10 9 10 9 9 9
2018-05-08 10 10 10 11 11 10 9 11 10 10 11 9 10 11 9 11 9 9 9 11 9 11 10 10 11 10 10 9 10 11 10 9 11 11
