"Period" "BE" "DE" "FR" "NL" "RAM_0" "Row" "Num_date"
15 -0.00397 -0.04735 -0.04463 0.01046 118.09016 660 20151210
15 -0.00318 0.04811 -0.01162 0.05737 120.2098 662 20151210
15 0.01235 0.07284 0.04611 0.115 250.173 667 20151210
16 0.00347 0.07703 0.02923 9e-05 198.60944 7 20151210
16 0.04466 -0.04914 -0.06788 -0.02385 242.40368 10 20151210
16 0.00458 0.08477 0.03399 -0.02973 292.19508 90 20151210
16 -0.00322 0.06246 -0.01185 0.05831 127.57896 103 20151210
16 -0.00316 -0.02709 -0.01232 0.1081 287.16732 104 20151210
16 -0.00322 0.05042 -0.01185 0.05831 121.37496 107 20151210
16 -0.00308 0.06194 -0.00658 0.06392 119.866 123 20151210
16 -0.00445 -0.04655 -0.04816 0.01573 127.57616 126 20151210
16 -0.00397 -0.04074 -0.04266 0.01375 112.82964 187 20151210
16 -0.00532 -0.02992 -0.0473 0.02846 145.88096 212 20151210
16 0.00829 -0.05968 0.00463 -0.04294 167.22284 266 20151210
16 -1 0 0 0 4500 315 20151210
16 -0.00212 -0.00285 -0.01965 0.01866 71.82596 320 20151210
16 0.01235 0.07284 0.04607 0.11337 237.24644 352 20151210
16 0 0 1 0 5301 363 20151210
16 0.00601 0.07691 0.03429 -0.12806 599.91896 439 20151210
16 -0.00318 0.06014 -0.01161 0.05753 123.40632 453 20151210
